id,text,file,node,lineNumber
line:049f603,Anak: Ayúdame..,NPC Anak,Anak.Start,4
line:0942bc2,Anak: Mi papá debe estar muy preocupado..,NPC Anak,Anak.Start,5
line:0aff92a,Anak: Gracias <color hex=FF97A8>Memu@</color>!,NPC Anak,Anak.Start,8
line:063209b,Anak: No sé qué hubiera hecho si no me hubieras salvado.,NPC Anak,Anak.Start,9
line:0bb04d3,Niño estúpido,NPC Anak,Anak.Start,10
line:05b4905,Está bien,NPC Anak,Anak.Start,25
line:059e317,Player: Tienes suerte de que vine a buscarte a tiempo,NPC Anak,Anak.Start,11
line:0ae3074,Player: Probablemente estarías muerto si no lo hubiera hecho,NPC Anak,Anak.Start,12
line:0f8db93,Anak: Lo siento...,NPC Anak,Anak.Start,13
line:0c9f65c,Ahora inclínate ante mi,NPC Anak,Anak.Start,14
line:0b80290,No hagas eso de nuevo,NPC Anak,Anak.Start,22
line:02228bc,Anak: Qu-?,NPC Anak,Anak.Start,15
line:0a22abc,Player: No hablé claro??,NPC Anak,Anak.Start,16
line:0b7f50d,Anak: Sí.. Por supuesto.,NPC Anak,Anak.Start,17
line:05a8540,Anak: *Se inclina*,NPC Anak,Anak.Start,18
line:02dfb40,"Anak: Oh gracias, poderosa Memu@",NPC Anak,Anak.Start,19
line:06c06ab,"Player: sí,",NPC Anak,Anak.Start,20
line:00fdce9,Player: mucho mejor.,NPC Anak,Anak.Start,21
line:0bbcdc0,Player: Tu papá está muy preocupado,NPC Anak,Anak.Start,23
line:01d5254,Anak: Lo sé..,NPC Anak,Anak.Start,24
line:00b713e,"Player: Ahora ve a hablar con tu padre,",NPC Anak,Anak.Start,26
line:09dcf48,Player: Y finalmente haremos que el juego comience!,NPC Anak,Anak.Start,27
line:0d5e71e,"Anak: Gracias de vuelta, <color hex=FF97A8>Memu@</color>!",NPC Anak,Anak.Start,31
