id,text,file,node,lineNumber
line:0101156,Guri: Qué es lo que quieres?,NPC Guri,Guri.Start,4
line:0db32ee,Player: Qué hay adentro?,NPC Guri,Guri.Start,5
line:0838de6,Guri: No es de tu maldita incumbencia! ¡Eso es lo que hay dentro!,NPC Guri,Guri.Start,6
line:0b90a3e,"Guri: Ahora piérdete, pequeño software !",NPC Guri,Guri.Start,7
line:0082922,Player: Ugh.,NPC Guri,Guri.Start,8
line:0eadc14,Guri: Volviste!,NPC Guri,Guri.Start,13
line:081ee0a,Guri: Quieres hacerlo o qué?,NPC Guri,Guri.Start,14
line:0dfc6c4,Vamos!,NPC Guri,Guri.Start,15
line:0a062f4,"No, más tarde!",NPC Guri,Guri.Start,18
line:0e1572a,Guri: <shake>Prepárate!</shake>,NPC Guri,Guri.Start,16
line:0a08eb8,"Guri: Je! De todos modos, no ganarás.",NPC Guri,Guri.Start,19
line:03cd8c7,Guri: Tu sabes donde encontrarme.,NPC Guri,Guri.Start,20
line:0ba905e,"Guri: No eres tan malo, pequeño software",NPC Guri,Guri.Start,25
line:0d80c4b,Guri: ¿Qué quieres?,NPC Guri,Guri.Start,30
line:0204a4b,Player: Déjame entrar.,NPC Guri,Guri.Start,31
line:083a794,Guri: No va a suceder Piérdete!,NPC Guri,Guri.Start,32
line:05e2cbe,Quien esta a cargo?,NPC Guri,Guri.Start,33
line:0b7fcb0,Sé que este es el escondite de Malware,NPC Guri,Guri.Start,43
line:03a3aba,Deja salir a Anak!,NPC Guri,Guri.Start,48
line:0405a5b,Guri: Qué? Yo! Yo estoy a cargo!,NPC Guri,Guri.Start,34
line:0216ab3,"Player: No, no lo estás.",NPC Guri,Guri.Start,35
line:0efaa87,Player: Eres solo un guardia de puerta glorificándose.,NPC Guri,Guri.Start,36
line:05bfe19,"Guri: Je, tienes huevos, pequeño software.",NPC Guri,Guri.Start,37
line:0e25ce2,"Guri: Tal vez lo sea, tal vez no.",NPC Guri,Guri.Start,38
line:0d6c36b,Guri: No cambia las cosas.,NPC Guri,Guri.Start,39
line:0a2edd6,Player: Necesito hablar con tu jefe.,NPC Guri,Guri.Start,40
line:037fd8e,"Guri: Ah, sí?",NPC Guri,Guri.Start,41
line:0093d8e,Guri: Lo mismo que todos los demás en este pequeño pueblo!,NPC Guri,Guri.Start,42
line:05df1ee,Guri: JAJAJAJA!,NPC Guri,Guri.Start,44
line:0cd140c,Guri: Lo sabes?,NPC Guri,Guri.Start,45
line:0a65e7f,Guri: Y qué? Nos vas a derribar?,NPC Guri,Guri.Start,46
line:02b349d,Guri: JAJAJAJA!,NPC Guri,Guri.Start,47
line:085e4ce,Guri: <color hex=0392cf>Anak</color>?,NPC Guri,Guri.Start,49
line:027d6bc,Guri: Quien diablos es <color hex=0392cf>Anak</color>?,NPC Guri,Guri.Start,50
line:02b34a2,Player: Oh no te hagas el tonto conmigo,NPC Guri,Guri.Start,51
line:04e304a,Player: Sé que está ahí.,NPC Guri,Guri.Start,52
line:032f372,"Guri: Oh, te refieres a ese chico escuálido que perdió una apuesta y trató de escapar?",NPC Guri,Guri.Start,53
line:07e85b9,Guri: Ja! Inútil!,NPC Guri,Guri.Start,54
line:0a3bcc9,"Guri: Qué quieres de él, de todos modos?",NPC Guri,Guri.Start,55
line:056f30b,"Player: Bueno, eso es asunto mío.",NPC Guri,Guri.Start,56
line:074a350,Player: Me dejarás entrar o no?,NPC Guri,Guri.Start,57
line:08fada2,"Guri: Sabes que,",NPC Guri,Guri.Start,58
line:0744641,"Guri: Te dejaré entrar, si puedes vencerme!",NPC Guri,Guri.Start,59
line:0bac4c0,Player: Uh.. vencerte?,NPC Guri,Guri.Start,60
line:0320261,Guri: Sí! Soy un maldito ganador!,NPC Guri,Guri.Start,61
line:01c3ce6,Guri: Nadie me ha vencido todavía!,NPC Guri,Guri.Start,62
line:0a8cec7,"Player: Uh .. como, en una pelea?",NPC Guri,Guri.Start,63
line:0a3de14,Guri: <shake>Demonios si!</shake>,NPC Guri,Guri.Start,64
line:00b7bac,"En una LUCHA ÉPICA de Piedra, Papel o Tijeras!",NPC Guri,Guri.Start,65
line:0984285,"Player: Espera, que?",NPC Guri,Guri.Start,66
line:098c006,Guri: Me escuchaste!,NPC Guri,Guri.Start,67
line:0038076,"Guri: Entonces, jugamos?",NPC Guri,Guri.Start,68
line:00f4fdf,De acuerdo!,NPC Guri,Guri.Start,70
line:0fb6796,Quizas mas tarde,NPC Guri,Guri.Start,73
line:0ba6a31,Guri: <shake>Preparate!</shake>,NPC Guri,Guri.Start,71
line:02066cf,"Guri: Je! De todos modos, no ganarás",NPC Guri,Guri.Start,74
line:07f34d5,Guri: Tu sabes donde encontrarme,NPC Guri,Guri.Start,75
line:0a13104,Guri: <wave>JAJAJAJA!</wave>,NPC Guri,Guri.Lose,80
line:0e246d3,Guri: Eso es todo lo que tienes?,NPC Guri,Guri.Lose,81
line:0653b4c,Guri: Puedo hacer esto todo el día!,NPC Guri,Guri.Lose,82
line:0b2de85,Player: <wave>iujuu!</wave>,NPC Guri,Guri.Win,87
line:078b07c,Guri: Je! No puedo creerlo!,NPC Guri,Guri.Win,88
line:081d4d5,Player: Mira quién se ríe ahora!,NPC Guri,Guri.Win,89
line:0d34ee7,Player: JAJAJAJA!,NPC Guri,Guri.Win,90
line:03af8aa,Guri: JAJAJAJA!,NPC Guri,Guri.Win,91
line:0755a1b,"Guri: Nada mal, pequeño software, nada mal!",NPC Guri,Guri.Win,92
line:0b6f3f9,Player: Te gané justamente!,NPC Guri,Guri.Win,93
line:092b9a1,Player: Ahora déjame entrar!,NPC Guri,Guri.Win,94
line:0acd7a8,Guri: Je! ¡Seguro!,NPC Guri,Guri.Win,95
line:0d21a00,Guri: Puedes entrar y salir cuando quieras!,NPC Guri,Guri.Win,96
line:050b422,Player: Estupendo!,NPC Guri,Guri.Win,97
line:0dfa704,Guri: Alto ahí!,NPC Guri,Guri.DontGo,111
line:0143fe6,Guri: Nadie tiene permitido entrar!,NPC Guri,Guri.DontGo,112
